,state,city,fips,city_geolocation,county_geolocation,city_pop
55,CO,Aurora,CO 08031,"(39.7091594781, -104.726526621)","(39.7611, -104.8772)",325078
56,CA,Santa Ana,CA 06059,"(33.7366948419, -117.881890237)","(33.703, -117.7605)",324528
57,MO,St. Louis,MO 29510,"(38.6358122615, -90.2451186799)","(38.6358, -90.245)",319294
58,PA,Pittsburgh,PA 42003,"(40.4396297486, -79.9762614995)","(40.4688, -79.9812)",305704
59,TX,Corpus Christi,TX 48355,"(27.7291588337, -97.4019095379)","(27.7232, -97.6289)",305215
60,CA,Riverside,CA 06059,"(33.9381251685, -117.394845824)","(33.703, -117.7605)",303871
61,OH,Cincinnati,OH 39061,"(39.1411747124, -84.5060004524)","(39.1954, -84.5426)",296943
62,KY,Lexington,KY 21067,"(38.0423254022, -84.4587259608)","(38.0423, -84.4588)",295803
63,AK,Anchorage,AK 02020,"(61.149868731, -149.111113424)","(61.1501, -149.1067)",291826
64,CA,Stockton,CA 06077,"(37.9766322679, -121.311121669)","(37.9345, -121.272)",291707
65,OH,Toledo,OH 39095,"(41.6637399604, -83.5823818449)","(41.62, -83.6586)",287208
66,MN,St. Paul,MN 27123,"(44.9477402558, -93.1039958305)","(45.0171, -93.0994)",285068
67,NJ,Newark,NJ 34013,"(40.7260693449, -74.1752997118)","(40.69, -74.1293)",277140
68,NC,Greensboro,NC 37081,"(36.0960480415, -79.8276833061)","(36.0794, -79.789)",269666
69,NY,Buffalo,NY 36029,"(42.9014518233, -78.8475237264)","(42.7621, -78.7308)",261310
70,TX,Plano,TX 48085,"(33.0502149278, -96.7486409797)","(33.1878, -96.5724)",259841
71,NE,Lincoln,NE 31109,"(40.8096195695, -96.6806742049)","(40.7841, -96.6878)",258379
72,NV,Henderson,NV 32003,"(36.0122394916, -115.037392161)","(36.2145, -115.0187)",257729
73,IN,Fort Wayne,IN 18003,"(41.0884920417, -85.1435898792)","(41.0908, -85.0665)",253691
74,NJ,Jersey City,NJ 34017,"(40.7188130852, -74.0687740635)","(40.7068, -74.0825)",247597
75,FL,St. Petersburg,FL 12103,"(27.792894971, -82.6650743239)","(27.928, -82.722)",244769
76,CA,Chula Vista,CA 06073,"(32.6282964262, -117.010042407)","(33.0354, -116.7335)",243916
77,VA,Norfolk,VA 51710,"(36.8932863006, -76.2567157761)","(36.8313, -76.2711)",242803
78,FL,Orlando,FL 12095,"(28.4800646771, -81.3452411179)","(28.5148, -81.3238)",238300
79,AZ,Chandler,AZ 04013,"(33.28318981, -111.852210033)","(33.3488, -112.4912)",236123
80,TX,Laredo,TX 48479,"(27.5482572475, -99.4867797312)","(27.7611, -99.3316)",236091
81,WI,Madison,WI 55025,"(43.0809865694, -89.3915106344)","(43.0674, -89.4183)",233209
82,NC,Winston-Salem,NC 37067,"(36.1029453039, -80.2609889241)","(36.1304, -80.2563)",229617
83,TX,Lubbock,TX 48303,"(33.5666251178, -101.886335663)","(33.6102, -101.8205)",229573
84,LA,Baton Rouge,LA 22033,"(30.4510891679, -91.1263551997)","(30.5383, -91.0957)",229493
85,NC,Durham,NC 37063,"(35.9809147402, -78.9059161097)","(36.0359, -78.8764)",228330
86,TX,Garland,TX 48397,"(32.9100799867, -96.6304258603)","(32.8978, -96.4077)",226876
87,AZ,Glendale,AZ 04013,"(33.5796123089, -112.225306421)","(33.3488, -112.4912)",226721
88,NV,Reno,NV 32029,"(39.5540171998, -119.852733516)","(39.4466, -119.5291)",225221
89,FL,Hialeah,FL 12011,"(25.869626948, -80.3045294666)","(26.1519, -80.4886)",224669
90,VA,Chesapeake,VA 51550,"(36.6777521118, -76.3024325925)","(36.6778, -76.3024)",222209
91,AZ,Scottsdale,AZ 04013,"(33.6872493651, -111.865085877)","(33.3488, -112.4912)",217385
92,NV,North Las Vegas,NV 32003,"(36.2891993562, -115.088496088)","(36.2145, -115.0187)",216961
93,TX,Irving,TX 48113,"(32.8583808131, -96.9703058323)","(32.7666, -96.7779)",216290
94,CA,Fremont,CA 06001,"(37.5278685405, -121.984121512)","(37.6466, -121.886)",214089
95,CA,Irvine,CA 06059,"(33.6780108904, -117.773633283)","(33.703, -117.7605)",212375
96,AL,Birmingham,AL 01073,"(33.5275663773, -86.7988174678)","(33.5543, -86.8965)",212237
97,NY,Rochester,NY 36055,"(43.1679802918, -77.6162348882)","(43.1464, -77.6958)",210565
98,CA,San Bernardino,CA 06059,"(34.1392322844, -117.295272732)","(33.703, -117.7605)",209924
99,WA,Spokane,WA 53063,"(47.6736243259, -117.415973291)","(47.6206, -117.404)",208916
100,AZ,Gilbert,AZ 04021,"(33.310149392, -111.746237467)","(32.9043, -111.3447)",208453
101,AL,Montgomery,AL 01101,"(32.3472645333, -86.2677059552)","(32.2202, -86.2076)",205764
102,ID,Boise City,ID 16001,"(43.5984343897, -116.230885189)","(43.4511, -116.2411)",205671
103,VA,Richmond,VA 51760,"(37.5293933083, -77.475568168)","(37.5293, -77.4754)",204214
104,IA,Des Moines,IA 19153,"(41.5741349525, -93.6165066086)","(41.6855, -93.5734)",203433
105,CA,Modesto,CA 06099,"(37.6615478221, -120.988548061)","(37.5592, -120.9978)",201165
106,NC,Fayetteville,NC 37051,"(35.0851309527, -78.9791676456)","(35.0485, -78.8273)",200564
107,LA,Shreveport,LA 22017,"(32.4671618864, -93.7962236108)","(32.5797, -93.8821)",199311
108,OH,Akron,OH 39153,"(41.0801444942, -81.5219213688)","(41.1259, -81.5321)",199110
109,WA,Tacoma,WA 53053,"(47.2425411445, -122.45447391)","(47.023, -122.102)",198397
110,CA,Oxnard,CA 06111,"(34.1959237731, -119.18187657)","(34.4567, -119.0835)",197899
111,IL,Aurora,IL 17043,"(41.7637750837, -88.2900949057)","(41.852, -88.0857)",197899
112,CA,Fontana,CA 06059,"(34.0974227833, -117.459241285)","(33.703, -117.7605)",196069
113,NY,Yonkers,NY 36119,"(40.9465025597, -73.8636959965)","(40.9601, -73.8998)",195976
114,GA,Augusta,GA 13245,"(33.3644561527, -82.0708396775)","(33.3596, -82.0735)",195844
115,AL,Mobile,AL 01097,"(30.6776248648, -88.1184482714)","(30.7943, -88.2018)",195111
116,AR,Little Rock,AR 05119,"(34.7253957894, -92.3583751863)","(34.7699, -92.3117)",193524
117,CA,Moreno Valley,CA 06059,"(33.9244314112, -117.204501895)","(33.703, -117.7605)",193365
118,CA,Glendale,CA 06037,"(34.181889373, -118.24676666)","(34.3203, -118.2252)",191719
119,TX,Amarillo,TX 48375,"(35.2003835544, -101.828292514)","(35.4013, -101.894)",190695
120,CA,Huntington Beach,CA 06059,"(33.6952749077, -118.001810806)","(33.703, -117.7605)",189992
121,GA,Columbus,GA 13215,"(32.5099614852, -84.8770410586)","(32.51, -84.877)",189885
122,MI,Grand Rapids,MI 26081,"(42.9614815414, -85.6556858473)","(43.0322, -85.5492)",188040
123,UT,Salt Lake City,UT 49035,"(40.7778489465, -111.931220784)","(40.6676, -111.9239)",186440
124,FL,Tallahassee,FL 12073,"(30.4548951211, -84.2526459938)","(30.4581, -84.2778)",181376
125,MA,Worcester,MA 25027,"(42.2705425446, -71.8079404584)","(42.3514, -71.9077)",181045
126,VA,Newport News,VA 51700,"(37.1051141309, -76.5182644502)","(37.1051, -76.5189)",180719
127,AL,Huntsville,AL 01089,"(34.6989692671, -86.6387042882)","(34.7631, -86.5502)",180105
128,TN,Knoxville,TN 47093,"(35.9690594531, -83.9495877264)","(35.9932, -83.9371)",178874
129,RI,Providence,RI 44007,"(41.823480533, -71.4218129335)","(41.8724, -71.5811)",178042
130,CA,Santa Clarita,CA 06037,"(34.4119039185, -118.503504698)","(34.3203, -118.2252)",176320
131,TX,Grand Prairie,TX 48113,"(32.6867650238, -97.0209311916)","(32.7666, -96.7779)",175396
132,TX,Brownsville,TX 48061,"(25.9981977861, -97.4566343763)","(26.1293, -97.5292)",175023
133,MS,Jackson,MS 28049,"(32.31627222, -90.2124528561)","(32.2667, -90.4427)",173514
134,KS,Overland Park,KS 20091,"(38.8872922575, -94.6872267067)","(38.8838, -94.8223)",173372
135,CA,Garden Grove,CA 06059,"(33.7786940635, -117.960111162)","(33.703, -117.7605)",170883
136,CA,Santa Rosa,CA 06097,"(38.4464423102, -122.706005935)","(38.5286, -122.8873)",167815
137,TN,Chattanooga,TN 47065,"(35.0662472165, -85.2466771892)","(35.1809, -85.1648)",167674
138,CA,Oceanside,CA 06073,"(33.2247457474, -117.308200285)","(33.0354, -116.7335)",167086
139,FL,Fort Lauderdale,FL 12011,"(26.1418205174, -80.1471225502)","(26.1519, -80.4886)",165521
140,CA,Rancho Cucamonga,CA 06059,"(34.1245895555, -117.56617587)","(33.703, -117.7605)",165269
141,FL,Port St. Lucie,FL 12111,"(27.2808680308, -80.3832154574)","(27.3764, -80.4836)",164603
142,CA,Ontario,CA 06059,"(34.0392649464, -117.606427103)","(33.703, -117.7605)",163924
143,WA,Vancouver,WA 53011,"(45.6357172365, -122.598539476)","(45.7793, -122.4826)",161791
144,AZ,Tempe,AZ 04013,"(33.3882640307, -111.931802302)","(33.3488, -112.4912)",161719
145,MO,Springfield,MO 29077,"(37.1942661484, -93.2914273656)","(37.2581, -93.342)",159498
146,CA,Lancaster,CA 06037,"(34.6934347017, -118.175306356)","(34.3203, -118.2252)",156633
147,OR,Eugene,OR 41039,"(44.0559363346, -123.117327584)","(43.9386, -122.847)",156185
148,FL,Pembroke Pines,FL 12011,"(26.0127387534, -80.3384522664)","(26.1519, -80.4886)",154750
149,OR,Salem,OR 41053,"(44.923273154, -123.0248671)","(44.9034, -123.4134)",154637
150,FL,Cape Coral,FL 12071,"(26.6448544993, -81.9931108298)","(26.5786, -81.821)",154305
151,AZ,Peoria,AZ 04013,"(33.7847206422, -112.298680584)","(33.3488, -112.4912)",154065
152,SD,Sioux Falls,SD 46099,"(43.5388067537, -96.7313495858)","(43.6742, -96.7914)",153888
153,MA,Springfield,MA 25013,"(42.1154977999, -72.5395254143)","(42.1351, -72.6316)",153060
154,CA,Elk Grove,CA 06067,"(38.4159992006, -121.384137762)","(38.4542, -121.3384)",153015
155,IL,Rockford,IL 17201,"(42.2633180015, -89.0625958362)","(42.3363, -89.1609)",152871
156,CA,Palmdale,CA 06037,"(34.5944899803, -118.105772328)","(34.3203, -118.2252)",152750
157,CA,Corona,CA 06059,"(33.8623571787, -117.564224471)","(33.703, -117.7605)",152374
158,CA,Salinas,CA 06069,"(36.6889174321, -121.631811961)","(36.6057, -121.075)",150441
159,CA,Pomona,CA 06059,"(34.0585026366, -117.762551658)","(33.703, -117.7605)",149058
160,TX,Pasadena,TX 48201,"(29.6589511488, -95.1509173148)","(29.8588, -95.3963)",149043
161,IL,Joliet,IL 17197,"(41.5206390037, -88.1507097756)","(41.445, -87.9787)",147433
162,NJ,Paterson,NJ 34031,"(40.9146874977, -74.1624181271)","(41.0337, -74.3003)",146199
163,KS,Kansas City,KS 20209,"(39.1234621409, -94.7441921112)","(39.1145, -94.7646)",145786
164,CA,Torrance,CA 06037,"(33.8345985464, -118.341641983)","(34.3203, -118.2252)",145438
165,NY,Syracuse,NY 36067,"(43.0409202097, -76.1437679213)","(43.0058, -76.1946)",145170
166,CT,Bridgeport,CT 09001,"(41.1928054233, -73.196054694)","(41.2731, -73.3887)",144229
167,CA,Hayward,CA 06001,"(37.6329591551, -122.077051051)","(37.6466, -121.886)",144186
168,CO,Fort Collins,CO 08069,"(40.5487758924, -105.065904872)","(40.6664, -105.4612)",143986
169,CA,Escondido,CA 06073,"(33.1346952955, -117.072122618)","(33.0354, -116.7335)",143911
170,CO,Lakewood,CO 08059,"(39.6976734462, -105.116965444)","(39.5865, -105.2506)",142980
171,IL,Naperville,IL 17043,"(41.7482001145, -88.1657705099)","(41.852, -88.0857)",141853
172,OH,Dayton,OH 39113,"(39.779768039, -84.1997930517)","(39.7545, -84.2906)",141527
173,FL,Hollywood,FL 12011,"(26.0287025703, -80.1683976059)","(26.1519, -80.4886)",140768
174,CA,Sunnyvale,CA 06081,"(37.3834416566, -122.025624324)","(37.4218, -122.3293)",140081
175,VA,Alexandria,VA 51510,"(38.8187351557, -77.0867762661)","(38.8185, -77.0861)",139966
176,TX,Mesquite,TX 48113,"(32.7641310166, -96.5927445114)","(32.7666, -96.7779)",139824
177,VA,Hampton,VA 51650,"(37.0533009025, -76.3665945624)","(37.0958, -76.3307)",137436
178,CA,Pasadena,CA 06037,"(34.1597634806, -118.138921644)","(34.3203, -118.2252)",137122
179,CA,Orange,CA 06059,"(33.8046419567, -117.8231855)","(33.703, -117.7605)",136416
180,GA,Savannah,GA 13051,"(32.0283615157, -81.1783435493)","(32.0099, -81.1416)",136286
181,NC,Cary,NC 37183,"(35.7814978722, -78.8152191642)","(35.7901, -78.6504)",135234
182,CA,Fullerton,CA 06059,"(33.8840378013, -117.927850895)","(33.703, -117.7605)",135161
183,MI,Warren,MI 26099,"(42.4934233034, -83.0270075248)","(42.6956, -82.9322)",134056
184,TN,Clarksville,TN 47125,"(36.569683159, -87.3432371614)","(36.4969, -87.3828)",132929
185,TX,McKinney,TX 48085,"(33.1988886952, -96.6677029773)","(33.1878, -96.5724)",131117
186,TX,McAllen,TX 48215,"(26.2186289942, -98.2451704536)","(26.3968, -98.1811)",129877
187,CT,New Haven,CT 09009,"(41.3113869392, -72.9247595793)","(41.4108, -72.9324)",129779
188,MI,Sterling Heights,MI 26099,"(42.580985283, -83.0303680858)","(42.6956, -82.9322)",129699
189,UT,West Valley City,UT 49035,"(40.6887696962, -112.011667394)","(40.6676, -111.9239)",129480
190,SC,Columbia,SC 45079,"(34.0366069566, -80.9037852694)","(34.0218, -80.9031)",129272
191,TX,Killeen,TX 48027,"(31.0757648143, -97.7285651299)","(31.0377, -97.4782)",127921
192,KS,Topeka,KS 20177,"(39.0359549911, -95.6954155341)","(39.0415, -95.7564)",127473
193,CA,Thousand Oaks,CA 06111,"(34.1917745655, -118.874888411)","(34.4567, -119.0835)",126683
194,IA,Cedar Rapids,IA 19113,"(41.966729258, -91.6781679349)","(42.0789, -91.5989)",126326
195,KS,Olathe,KS 20091,"(38.884693021, -94.8192070197)","(38.8838, -94.8223)",125872
196,NJ,Elizabeth,NJ 34039,"(40.6664447729, -74.1938679138)","(40.6572, -74.1597)",124969
197,TX,Waco,TX 48309,"(31.5597607137, -97.1883333282)","(31.5524, -97.2018)",124805
198,CT,Hartford,CT 09003,"(41.7660706419, -72.6834012389)","(41.8064, -72.7328)",124775
199,CA,Visalia,CA 06107,"(36.3270623157, -119.325273214)","(36.2201, -118.8005)",124442
200,FL,Gainesville,FL 12001,"(29.6817027431, -82.345278266)","(29.6749, -82.3576)",124354
201,CA,Simi Valley,CA 06111,"(34.2662462857, -118.748980462)","(34.4567, -119.0835)",124237
202,CT,Stamford,CT 09001,"(41.1049145013, -73.5589363142)","(41.2731, -73.3887)",122643
203,WA,Bellevue,WA 53033,"(47.5962437606, -122.153569982)","(47.4902, -121.8048)",122363
204,CA,Concord,CA 06013,"(37.9721810307, -122.001588036)","(37.9163, -121.9276)",122067
205,FL,Miramar,FL 12011,"(25.9773288233, -80.3357316003)","(26.1519, -80.4886)",122041
206,FL,Coral Springs,FL 12011,"(26.2701700158, -80.2592221493)","(26.1519, -80.4886)",121096
207,LA,Lafayette,LA 22055,"(30.2120582815, -92.0317532321)","(30.2063, -92.0639)",120623
208,SC,Charleston,SC 45019,"(32.8136961892, -79.967381899)","(32.6714, -80.1831)",120083
209,TX,Carrollton,TX 48113,"(32.988438459, -96.900137433)","(32.7666, -96.7779)",119097
210,CA,Roseville,CA 06067,"(38.7657516182, -121.302847708)","(38.4542, -121.3384)",118788
211,CO,Thornton,CO 08014,"(39.9193994188, -104.944956758)","(39.954, -105.0525)",118772
212,TX,Beaumont,TX 48245,"(30.084416647, -94.1441072222)","(29.8838, -94.1722)",118296
213,PA,Allentown,PA 42077,"(40.596099618, -75.4755373968)","(40.6129, -75.5924)",118032
214,AZ,Surprise,AZ 04013,"(33.6803835177, -112.452218439)","(33.3488, -112.4912)",117517
215,IN,Evansville,IN 18163,"(37.9867158026, -87.538270731)","(38.0254, -87.5857)",117429
216,TX,Abilene,TX 48441,"(32.4546510898, -99.7383043723)","(32.3015, -99.8901)",117063
217,TX,Frisco,TX 48085,"(33.1507545152, -96.8201336312)","(33.1878, -96.5724)",116989
218,MO,Independence,MO 29095,"(39.0870794771, -94.3502748237)","(39.0085, -94.3461)",116830
219,CA,Santa Clara,CA 06085,"(37.3646197504, -121.967932117)","(37.2325, -121.6963)",116468
220,IL,Springfield,IL 17167,"(39.7716473322, -89.6540780049)","(39.7582, -89.6589)",116250
221,CA,Vallejo,CA 06095,"(38.1135329247, -122.235518478)","(38.2805, -121.9266)",115942
222,CA,Victorville,CA 06037,"(34.5277691103, -117.353855136)","(34.3203, -118.2252)",115903
223,GA,Athens,GA 13059,"(33.9508170683, -83.3689417445)","(33.9513, -83.3675)",115452
224,IL,Peoria,IL 17143,"(40.7515684146, -89.615255458)","(40.7881, -89.76)",115007
225,MI,Lansing,MI 26065,"(42.7090711751, -84.5584470022)","(42.5971, -84.3736)",114297
226,MI,Ann Arbor,MI 26161,"(42.2756833567, -83.7311374448)","(42.2534, -83.8384)",113934
227,CA,El Monte,CA 06037,"(34.073919653, -118.029071951)","(34.3203, -118.2252)",113475
228,TX,Denton,TX 48121,"(33.2156160443, -97.1412438684)","(33.2043, -97.1171)",113383
229,CA,Berkeley,CA 06075,"(37.8725678765, -122.274907975)","(37.7558, -122.4424)",112580
230,UT,Provo,UT 49049,"(40.2457185288, -111.645715857)","(40.1196, -111.6706)",112488
231,CA,Downey,CA 06059,"(33.937867256, -118.131150116)","(33.703, -117.7605)",111772
232,TX,Midland,TX 48329,"(32.0285948356, -102.109700973)","(31.8692, -102.0316)",111147
233,OK,Norman,OK 40027,"(35.2335032647, -97.3470413838)","(35.2036, -97.3271)",110925
234,CT,Waterbury,CT 09009,"(41.5582443266, -73.036129832)","(41.4108, -72.9324)",110366
235,CA,Costa Mesa,CA 06059,"(33.6667651353, -117.91350475)","(33.703, -117.7605)",109960
236,CA,Inglewood,CA 06037,"(33.9565748018, -118.344444926)","(34.3203, -118.2252)",109673
237,NH,Manchester,NH 33011,"(42.9844541713, -71.4445313287)","(42.9153, -71.716)",109565
238,TN,Murfreesboro,TN 47149,"(35.850778195, -86.408628238)","(35.8427, -86.4167)",108755
239,MO,Columbia,MO 29019,"(38.9481109651, -92.3260129764)","(38.9907, -92.3096)",108500
240,IL,Elgin,IL 17089,"(42.0385402472, -88.3224947104)","(41.939, -88.4287)",108188
241,FL,Clearwater,FL 12103,"(27.9805997919, -82.7544099135)","(27.928, -82.722)",107685
242,FL,Miami Gardens,FL 12011,"(25.9432633871, -80.2425332162)","(26.1519, -80.4886)",107167
243,MN,Rochester,MN 27109,"(44.0150574384, -92.4775005494)","(44.0036, -92.4018)",106769
244,CO,Pueblo,CO 08101,"(38.2733957251, -104.612001218)","(38.1734, -104.5128)",106595
245,MA,Lowell,MA 25017,"(42.6388727331, -71.321714396)","(42.4855, -71.3918)",106519
246,NC,Wilmington,NC 37129,"(34.2102758569, -77.8872842368)","(34.1047, -77.8921)",106476
247,CA,San Buenaventura (Ventura),CA 06111,"(34.2743610206, -119.231436551)","(34.4567, -119.0835)",106433
248,CO,Arvada,CO 08014,"(39.8308263293, -105.146327974)","(39.954, -105.0525)",106433
249,CO,Westminster,CO 08014,"(39.8838511475, -105.062645316)","(39.954, -105.0525)",106114
250,CA,West Covina,CA 06037,"(34.0554415174, -117.91128206)","(34.3203, -118.2252)",106098
251,OR,Gresham,OR 41051,"(45.5024256798, -122.441469029)","(45.5469, -122.4157)",105594
252,ND,Fargo,ND 38017,"(46.8652457832, -96.8289882328)","(46.933, -97.2481)",105549
253,CA,Norwalk,CA 06059,"(33.9068808228, -118.082915204)","(33.703, -117.7605)",105549
254,CA,Carlsbad,CA 06073,"(33.1248051026, -117.282903303)","(33.0354, -116.7335)",105328
255,CA,Fairfield,CA 06095,"(38.2558446343, -122.039303253)","(38.2805, -121.9266)",105321
256,MA,Cambridge,MA 25025,"(42.3758188051, -71.1183992378)","(42.3308, -71.0818)",105162
257,TX,Wichita Falls,TX 48485,"(33.9072739838, -98.5292981697)","(33.988, -98.7032)",104553
258,NC,High Point,NC 37081,"(35.9881243803, -79.9932956384)","(36.0794, -79.789)",104371
259,MT,Billings,MT 30111,"(45.7893102609, -108.54882784)","(45.9372, -108.2744)",104170
260,WI,Green Bay,WI 55009,"(44.5149847816, -87.9896195955)","(44.4537, -88.0032)",104057
261,UT,West Jordan,UT 49035,"(40.6022598635, -112.000961848)","(40.6676, -111.9239)",103712
262,CA,Richmond,CA 06075,"(37.9479710365, -122.336803759)","(37.7558, -122.4424)",103701
263,CA,Murrieta,CA 06059,"(33.5719743356, -117.190921143)","(33.703, -117.7605)",103466
264,CA,Burbank,CA 06037,"(34.1879799605, -118.323429032)","(34.3203, -118.2252)",103340
265,FL,Palm Bay,FL 12009,"(27.9838255249, -80.6666722846)","(28.2631, -80.7436)",103190
266,WA,Everett,WA 53061,"(47.9497966189, -122.160703911)","(48.0473, -121.6966)",103019
267,MI,Flint,MI 26049,"(43.0236339386, -83.6920640313)","(43.0217, -83.7067)",102434
268,CA,Antioch,CA 06013,"(37.9777042922, -121.796606971)","(37.9163, -121.9276)",102372
269,PA,Erie,PA 42049,"(42.1164698754, -80.0730358517)","(41.9917, -80.0322)",101786
270,IN,South Bend,IN 18141,"(41.6769914549, -86.2690372417)","(41.6167, -86.2898)",101168
271,CA,Daly City,CA 06075,"(37.6861552276, -122.468298024)","(37.7558, -122.4424)",101123
272,CO,Centennial,CO 08031,"(39.592872073, -104.867986891)","(39.7611, -104.8772)",100377
273,CA,Temecula,CA 06059,"(33.5029980884, -117.12239028)","(33.703, -117.7605)",100097
274,TX,Odessa,TX 48135,"(31.879456461, -102.344465435)","(31.8692, -102.5428)",99940
275,FL,West Palm Beach,FL 12099,"(26.7478714655, -80.1337397544)","(26.623, -80.4329)",99919
276,TX,Round Rock,TX 48491,"(30.5239578235, -97.6669801882)","(30.6481, -97.6008)",99887
277,FL,Pompano Beach,FL 12011,"(26.2428335699, -80.131245161)","(26.1519, -80.4886)",99845
